file,inputTokens,outputTokens,totalTokens,time
/Users/caio/Downloads/doc4me/src/ai/ai.ts,641,703,1344,2023-11-09T12:57:29.538Z
/Users/caio/Downloads/doc4me/src/ai/explainer.ts,420,1133,1553,2023-11-09T12:57:58.397Z
/Users/caio/Downloads/doc4me/src/ai/summarizer.ts,521,863,1384,2023-11-09T12:58:22.909Z
/Users/caio/Downloads/doc4me/src/billCalculator.ts,602,837,1439,2023-11-09T12:58:45.220Z
/Users/caio/Downloads/doc4me/src/commands.ts,569,723,1292,2023-11-09T12:59:04.886Z
/Users/caio/Downloads/doc4me/src/extension.ts,297,405,702,2023-11-09T12:59:15.907Z
/Users/caio/Downloads/doc4me/src/myConfig.ts,1447,1084,2531,2023-11-09T12:59:45.310Z
/Users/caio/Downloads/doc4me/src/utils.ts,651,805,1456,2023-11-09T13:00:06.936Z
/Users/caio/Downloads/doc4me/webpack.config.js,411,1016,1427,2023-11-09T13:00:38.272Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/ai.md,723,605,1328,2023-11-09T13:00:55.675Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/explainer.md,1153,345,1498,2023-11-09T13:01:06.530Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/summarizer.md,883,719,1602,2023-11-09T13:01:27.975Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/billCalculator.md,857,716,1573,2023-11-09T13:01:49.103Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/commands.md,743,151,894,2023-11-09T13:01:53.784Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/extension.md,425,86,511,2023-11-09T13:01:56.761Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/myConfig.md,1104,109,1213,2023-11-09T13:02:00.343Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/utils.md,825,198,1023,2023-11-09T13:02:06.624Z
/Users/caio/Downloads/doc4me/pt-br-docs/webpack.config.md,1036,124,1160,2023-11-09T13:02:11.346Z
projectSummary.md,3256,662,3918,2023-11-09T13:02:31.403Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/ai.md,723,605,1328,2023-11-09T13:07:30.124Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/explainer.md,1153,345,1498,2023-11-09T13:07:39.035Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/summarizer.md,883,719,1602,2023-11-09T13:07:56.955Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/billCalculator.md,857,716,1573,2023-11-09T13:08:17.142Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/commands.md,743,151,894,2023-11-09T13:08:21.096Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/extension.md,425,97,522,2023-11-09T13:08:24.275Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/myConfig.md,1104,109,1213,2023-11-09T13:08:27.612Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/utils.md,825,198,1023,2023-11-09T13:08:33.403Z
/Users/caio/Downloads/doc4me/pt-br-docs/webpack.config.md,1036,124,1160,2023-11-09T13:08:37.194Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/ai.md,723,605,1328,2023-11-09T13:15:31.837Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/explainer.md,1153,345,1498,2023-11-09T13:15:41.872Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/summarizer.md,883,719,1602,2023-11-09T13:15:59.472Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/ai.md,723,605,1328,2023-11-09T13:17:39.506Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/explainer.md,1153,354,1507,2023-11-09T13:17:49.439Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/ai.md,730,606,1336,2023-11-09T13:23:46.808Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/explainer.md,1160,229,1389,2023-11-09T13:23:53.258Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/summarizer.md,890,704,1594,2023-11-09T13:24:13.728Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/billCalculator.md,864,716,1580,2023-11-09T13:24:35.191Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/commands.md,750,112,862,2023-11-09T13:24:38.920Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/extension.md,432,92,524,2023-11-09T13:24:42.008Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/myConfig.md,1111,91,1202,2023-11-09T13:24:45.584Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/utils.md,832,647,1479,2023-11-09T13:25:05.548Z
/Users/caio/Downloads/doc4me/pt-br-docs/webpack.config.md,1043,122,1165,2023-11-09T13:25:09.590Z
projectSummary.md,3521,413,3934,2023-11-09T13:25:21.481Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/ai.md,753,143,896,2023-11-09T13:36:02.338Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/explainer.md,1183,223,1406,2023-11-09T13:36:23.558Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/summarizer.md,913,115,1028,2023-11-09T13:36:27.623Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/billCalculator.md,887,170,1057,2023-11-09T13:36:32.611Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/commands.md,773,110,883,2023-11-09T13:36:36.264Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/extension.md,455,99,554,2023-11-09T13:36:39.408Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/myConfig.md,1134,138,1272,2023-11-09T13:36:43.758Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/utils.md,855,119,974,2023-11-09T13:36:47.558Z
/Users/caio/Downloads/doc4me/pt-br-docs/webpack.config.md,1066,80,1146,2023-11-09T13:36:50.797Z
projectSummary.md,1399,1148,2547,2023-11-09T13:37:21.957Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/ai.md,753,143,896,2023-11-09T13:40:19.847Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/explainer.md,1183,223,1406,2023-11-09T13:40:27.175Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/summarizer.md,913,115,1028,2023-11-09T13:40:31.118Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/billCalculator.md,887,170,1057,2023-11-09T13:40:36.606Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/commands.md,773,90,863,2023-11-09T13:40:39.730Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/extension.md,455,99,554,2023-11-09T13:40:43.357Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/myConfig.md,1134,141,1275,2023-11-09T13:40:48.391Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/utils.md,855,118,973,2023-11-09T13:40:52.628Z
/Users/caio/Downloads/doc4me/pt-br-docs/webpack.config.md,1066,80,1146,2023-11-09T13:40:55.464Z
projectSummary.md,1403,1181,2584,2023-11-09T13:41:31.527Z
